Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD4000FYYZ,WD,Re 4TB (2012),84,79.7,3593,https://hdd.userbenchmark.com/SpeedTest/1815/WDC-WD4000FYYZ-01UL1B0
HDD,PH3300U-1I72,Toshiba,MD04ACA300 3TB,85,79.3,129,https://hdd.userbenchmark.com/SpeedTest/31118/TOSHIBA-MD04ACA300
HDD,WD80EFZX,WD,Red 8TB (2016),86,79.3,2953,https://hdd.userbenchmark.com/SpeedTest/124577/WDC-WD80EFZX-68UW8N0
HDD,,Seagate,ST2000VM003-1CT164 2TB,87,79.2,13137,https://hdd.userbenchmark.com/SpeedTest/7562/ST2000VM003-1CT164
HDD,,Seagate,ST1500DM003-9YN16G 1.5TB,88,79,4882,https://hdd.userbenchmark.com/SpeedTest/2739/ST1500DM003-9YN16G
HDD,WD30PURZ,WD,Purple Surveillance 3TB (2017),89,78.9,2113,https://hdd.userbenchmark.com/SpeedTest/329567/WDC-WD30PURZ-85GU6Y0
HDD,ST1000VN002,Seagate,IronWolf 1TB (2016),90,78.6,1560,https://hdd.userbenchmark.com/Seagate-IronWolf-1TB-2016/Rating/3904
HDD,ST2000VN000,Seagate,NAS HDD 2TB,91,78.4,3010,https://hdd.userbenchmark.com/SpeedTest/9942/ST2000VN000-1H3164
HDD,,Hitachi,HDS723020BLE640 2TB,92,78.4,2563,https://hdd.userbenchmark.com/SpeedTest/1260/Hitachi-HDS723020BLE640
HDD,ST4000VN000,Seagate,NAS HDD 4TB,93,78.3,2303,https://hdd.userbenchmark.com/Seagate-NAS-HDD-4TB/Rating/2669
HDD,ST3000VN000,Seagate,NAS HDD 3TB,94,78.3,1817,https://hdd.userbenchmark.com/SpeedTest/3909/ST3000VN000-1H4167
HDD,HDWD105XZSTA,Toshiba,HDWD105 500GB,95,77.8,7900,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD105EZSTA,Toshiba,HDWD105 500GB,95,77.8,7900,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD105UZSVA,Toshiba,HDWD105 500GB,95,77.8,7900,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,WD60EFAX,WD,Red 6TB (2019),96,77.4,226,https://hdd.userbenchmark.com/SpeedTest/748440/WDC-WD60EFAX-68SHWN0
HDD,WD60EZRZ,WD,Blue 6TB (2015),97,77.2,6322,https://hdd.userbenchmark.com/WD-Blue-6TB-2015/Rating/3910
HDD,WD60EFRX,WD,Red 6TB (2014),98,77.1,8622,https://hdd.userbenchmark.com/WD-Red-6TB-2014/Rating/2663
HDD,,Seagate,ST4000DM 000-1CD168 4TB,99,77,15,https://hdd.userbenchmark.com/SpeedTest/2310/ST4000DM-000-1CD168
HDD,WD50EZRX,WD,Green 5TB (2014),100,76.9,1402,https://hdd.userbenchmark.com/WD-Green-5TB-2014/Rating/3517
HDD,WD40EFRX,WD,Red 4TB (2013),101,76.8,41286,https://hdd.userbenchmark.com/WD-Red-4TB-2013/Rating/3525
HDD,HUS724020ALA640,Hitachi,UltraStar 7K4000 2TB,102,76.6,1970,https://hdd.userbenchmark.com/SpeedTest/10357/HGST-HUS724020ALA640
HDD,WD3001FAEX,WD,Black 3TB (2012),103,76,1110,https://hdd.userbenchmark.com/SpeedTest/8039/WDC-WD3001FAEX-00MJRA0
HDD,WD60EZRX,WD,Green 6TB (2014),104,75.8,3254,https://hdd.userbenchmark.com/WD-Green-6TB-2014/Rating/3518
HDD,WD50EFRX,WD,Red 5TB (2014),105,75.8,859,https://hdd.userbenchmark.com/WD-Red-5TB-2014/Rating/3524
HDD,,Toshiba,DT01ACA050 500GB,106,75.7,134452,https://hdd.userbenchmark.com/SpeedTest/1379/TOSHIBA-DT01ACA050
