Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80677G4600,Intel,Pentium G4600,445,63.4,14005,https://cpu.userbenchmark.com/Intel-Pentium-G4600/Rating/3894
CPU,,Intel,Core i7-4702MQ,446,63.4,18122,https://cpu.userbenchmark.com/SpeedTest/2674/IntelR-CoreTM-i7-4702MQ-CPU---220GHz
CPU,,Intel,Core i7-8665U,447,63.3,6456,https://cpu.userbenchmark.com/SpeedTest/740553/IntelR-CoreTM-i7-8665U-CPU---190GHz
CPU,,Intel,Core i5-2400S,448,63.3,8105,https://cpu.userbenchmark.com/SpeedTest/304/IntelR-CoreTM-i5-2400S-CPU---250GHz
CPU,BX80646I34330,Intel,Core i3-4330,449,63.3,5411,https://cpu.userbenchmark.com/Intel-Core-i3-4330/Rating/2876
CPU,YD1200BBAEBOX,AMD,Ryzen 3 1200,450,63.3,68038,https://cpu.userbenchmark.com/AMD-Ryzen-3-1200/Rating/3931
CPU,,AMD,FX-6350 Six-Core,451,63.1,23843,https://cpu.userbenchmark.com/SpeedTest/713/AMD-FXtm-6350-Six-Core-Processor
CPU,FD8320FRHKBOX,AMD,FX-8320,452,63.1,102458,https://cpu.userbenchmark.com/AMD-FX-8320/Rating/1983
CPU,,Intel,Core i5-8350U,453,63.1,13607,https://cpu.userbenchmark.com/SpeedTest/388461/IntelR-CoreTM-i5-8350U-CPU---170GHz
CPU,,AMD,Phenom II X4 980,454,63.1,1043,https://cpu.userbenchmark.com/SpeedTest/5445/AMD-Phenomtm-II-X4-980-Processor
CPU,HDE00ZFBGRBOX,AMD,Phenom II X6 1100T,455,63.1,10877,https://cpu.userbenchmark.com/AMD-Phenom-II-X6-1100T/Rating/2004
CPU,,Intel,Core i7-3615QM,456,63,2304,https://cpu.userbenchmark.com/SpeedTest/806/IntelR-CoreTM-i7-3615QM-CPU---230GHz
CPU,BX80662I36100,Intel,Core i3-6100,457,63,96330,https://cpu.userbenchmark.com/Intel-Core-i3-6100/Rating/3511
CPU,,Intel,Xeon W3520,458,62.9,5775,https://cpu.userbenchmark.com/SpeedTest/3585/IntelR-XeonR-CPU-----------W3520----267GHz
CPU,,Intel,Core i7-3632QM,459,62.9,20281,https://cpu.userbenchmark.com/SpeedTest/36/IntelR-CoreTM-i7-3632QM-CPU---220GHz
CPU,YD1400BBAEBOX,AMD,Ryzen 5 1400,460,62.8,59326,https://cpu.userbenchmark.com/AMD-Ryzen-5-1400/Rating/3922
CPU,,Intel,Xeon E5540,461,62.7,410,https://cpu.userbenchmark.com/SpeedTest/13822/IntelR-XeonR-CPU-----------E5540----253GHz
